flow_id,packet_count,total_bytes,start_time,end_time,duration
10.52.21.225_10.52.21.69_50473_53_UDP,1,89,1773567974.213177,1773567974.213177,0.0
10.52.21.225_10.52.21.69_52034_53_UDP,1,84,1773567972.766139,1773567972.766139,0.0
10.52.21.225_10.52.21.69_54136_53_UDP,1,113,1773567975.510557,1773567975.510557,0.0
10.52.21.225_10.52.21.69_54429_53_UDP,1,89,1773567974.211925,1773567974.211925,0.0
10.52.21.225_10.52.21.69_54508_53_UDP,2,170,1773568005.141054,1773568023.567043,1.8e-08
10.52.21.225_10.52.21.69_54736_53_UDP,1,84,1773567972.765821,1773567972.765821,0.0
10.52.21.225_10.52.21.69_54894_53_UDP,1,84,1773567972.766351,1773567972.766351,0.0
10.52.21.225_10.52.21.69_55089_53_UDP,1,113,1773567975.510285,1773567975.510285,0.0
10.52.21.225_10.52.21.69_59278_53_UDP,1,89,1773567974.213574,1773567974.213574,0.0
10.52.21.225_10.52.21.69_59609_53_UDP,1,90,1773567990.413892,1773567990.413892,0.0
10.52.21.225_10.52.21.69_60098_53_UDP,2,181,1773567980.114032,1773567990.404262,1e-08
10.52.21.225_10.52.21.69_61509_53_UDP,2,170,1773568005.139946,1773568023.566887,1.8e-08
10.52.21.225_10.52.21.69_62747_53_UDP,1,90,1773567990.414291,1773567990.414291,0.0
10.52.21.225_10.52.21.69_62786_53_UDP,1,91,1773567990.404733,1773567990.404733,0.0
10.52.21.225_10.52.21.69_64510_53_UDP,1,113,1773567975.510722,1773567975.510722,0.0
10.52.21.225_10.52.21.69_64945_53_UDP,1,90,1773567980.113682,1773567980.113682,0.0
10.52.21.225_13.107.137.11_2458_443_TCP,646,904144,1773567964.103886,1773568020.471631,5.6e-08
10.52.21.225_13.107.137.11_2461_443_TCP,2681,3872331,1773567964.073148,1773567997.482284,3.3e-08
10.52.21.225_13.107.137.11_2462_443_TCP,16727,24296340,1773567964.066625,1773568019.389828,5.5e-08
10.52.21.225_13.107.137.11_2463_443_TCP,114,133645,1773567964.073048,1773567999.48574,3.5e-08
10.52.21.225_13.107.137.11_2464_443_TCP,35061,50923476,1773567964.05541,1773568039.855342,7.5e-08
10.52.21.225_13.107.137.11_2465_443_TCP,956,1352584,1773567964.126268,1773567997.919188,3.3e-08
10.52.21.225_13.107.137.11_33935_443_TCP,15,5208,1773567990.664551,1773567991.710379,1e-09
10.52.21.225_13.107.137.11_33936_443_TCP,15,5208,1773567990.664882,1773567991.711827,1e-09
10.52.21.225_13.107.137.11_45699_443_TCP,499,696470,1773567964.132673,1773567999.54381,3.5e-08
10.52.21.225_13.89.179.11_45702_443_TCP,9,8178,1773567999.815386,1773568001.021758,2e-09
10.52.21.225_135.171.2.152_33984_443_TCP,20,9453,1773568005.34931,1773568010.41036,5e-09
10.52.21.225_149.154.167.151_33938_443_TCP,228,27263,1773567991.32309,1773568014.664248,2.3e-08
10.52.21.225_149.154.167.151_33939_443_TCP,119,20176,1773567991.323403,1773568014.664152,2.3e-08
10.52.21.225_149.154.167.151_33940_80_TCP,6,737,1773567991.326239,1773567992.660696,1e-09
10.52.21.225_149.154.167.151_33941_80_TCP,6,733,1773567991.326462,1773567992.656848,1e-09
10.52.21.225_149.154.167.151_33942_443_TCP,6,898,1773567993.895722,1773567994.922354,1e-09
10.52.21.225_149.154.167.151_33943_80_TCP,6,1114,1773567993.899709,1773567995.388628,2e-09
10.52.21.225_149.154.167.151_33960_443_TCP,57,7179,1773567994.89761,1773568014.664362,2e-08
10.52.21.225_149.154.167.151_33961_80_TCP,6,669,1773567994.903139,1773567995.896189,1e-09
10.52.21.225_149.154.167.151_33980_443_TCP,10,1804,1773567996.287645,1773568014.664414,1.8e-08
10.52.21.225_149.154.167.151_33981_80_TCP,6,753,1773567996.292683,1773567997.813038,1e-09
10.52.21.225_149.154.167.50_2453_443_TCP,4,506,1773567967.16113,1773568012.792969,4.5e-08
10.52.21.225_149.154.171.5_42865_443_TCP,1510,109490,1773567970.258204,1773568038.504487,6.8e-08
10.52.21.225_149.154.175.52_33944_443_TCP,5,603,1773567994.780412,1773567995.840006,1e-09
10.52.21.225_149.154.175.52_33945_443_TCP,5,455,1773567994.780779,1773567995.841864,1e-09
10.52.21.225_149.154.175.52_33946_443_TCP,5,471,1773567994.781052,1773567995.811183,1e-09
10.52.21.225_149.154.175.52_33947_443_TCP,5,627,1773567994.781259,1773567995.818957,1e-09
10.52.21.225_149.154.175.52_33954_80_TCP,5,557,1773567994.791365,1773567996.135575,2e-09
10.52.21.225_149.154.175.52_33955_80_TCP,5,545,1773567994.791674,1773567996.152877,2e-09
10.52.21.225_149.154.175.52_33958_80_TCP,5,585,1773567994.792465,1773567996.173169,2e-09
10.52.21.225_149.154.175.52_33959_80_TCP,5,734,1773567994.792647,1773567996.173467,2e-09
10.52.21.225_149.154.175.52_33964_443_TCP,9,1466,1773567995.797048,1773568013.70456,1.8e-08
10.52.21.225_149.154.175.52_33965_443_TCP,5,563,1773567995.797086,1773567996.62069,1e-09
10.52.21.225_149.154.175.52_33966_443_TCP,5,619,1773567995.797276,1773567996.621356,1e-09
10.52.21.225_149.154.175.52_33967_443_TCP,5,475,1773567995.797412,1773567996.655703,1e-09
10.52.21.225_149.154.175.52_33972_80_TCP,5,646,1773567995.806532,1773567997.172266,2e-09
10.52.21.225_149.154.175.52_33974_80_TCP,5,774,1773567995.807041,1773567997.194131,2e-09
10.52.21.225_149.154.175.52_33975_80_TCP,5,577,1773567995.807148,1773567997.194483,2e-09
10.52.21.225_149.154.175.52_33979_80_TCP,6,848,1773567995.80792,1773567997.192113,2e-09
10.52.21.225_149.154.175.52_33985_443_TCP,5,603,1773568022.716302,1773568023.770421,1e-09
10.52.21.225_149.154.175.52_33986_443_TCP,5,431,1773568022.716322,1773568023.77056,1e-09
10.52.21.225_149.154.175.52_33989_80_TCP,5,610,1773568022.720692,1773568024.350032,2e-09
10.52.21.225_149.154.175.52_33992_80_TCP,5,622,1773568022.721483,1773568024.349611,2e-09
10.52.21.225_149.154.175.52_33993_443_TCP,7,1330,1773568023.73736,1773568035.747983,1.2e-08
10.52.21.225_149.154.175.52_33994_443_TCP,7,1318,1773568023.737507,1773568035.795182,1.2e-08
10.52.21.225_149.154.175.52_33998_80_TCP,6,720,1773568023.747157,1773568025.21558,2e-09
10.52.21.225_149.154.175.52_33999_80_TCP,6,780,1773568023.747678,1773568025.218143,2e-09
10.52.21.225_149.154.175.54_33948_443_TCP,5,439,1773567994.781599,1773567995.841793,1e-09
10.52.21.225_149.154.175.54_33949_443_TCP,5,447,1773567994.781868,1773567995.841899,1e-09
10.52.21.225_149.154.175.54_33950_443_TCP,5,635,1773567994.782047,1773567995.818303,1e-09
10.52.21.225_149.154.175.54_33951_443_TCP,5,619,1773567994.782776,1773567995.815206,1e-09
10.52.21.225_149.154.175.54_33952_80_TCP,5,678,1773567994.791042,1773567996.153587,2e-09
