src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp
10.52.21.225,13.107.6.254,10811,443,TCP,55,1773570538.786324
13.107.6.254,10.52.21.225,443,10811,TCP,66,1773570538.976940
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570539.827427
152.53.246.111,10.52.21.225,9001,27546,TCP,54,1773570540.516149
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570541.396312
45.13.104.185,10.52.21.225,9001,60901,TCP,590,1773570541.547077
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570541.547241
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570541.745014
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570543.071274
152.53.246.111,10.52.21.225,9001,27546,TCP,54,1773570543.486229
152.53.246.111,10.52.21.225,9001,27546,TCP,590,1773570543.486229
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570543.487418
152.53.246.111,10.52.21.225,9001,27546,TCP,590,1773570543.898391
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570543.899715
152.53.246.111,10.52.21.225,9001,27546,TCP,54,1773570544.407381
152.53.246.111,10.52.21.225,9001,27546,TCP,590,1773570544.407381
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570544.460265
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570547.133303
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570547.643720
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570547.683550
45.13.104.185,10.52.21.225,9001,60901,TCP,66,1773570547.991914
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570548.366237
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570548.707828
45.13.104.185,10.52.21.225,9001,60901,TCP,590,1773570548.912613
10.52.21.225,45.13.104.185,60901,9001,TCP,1454,1773570548.913840
10.52.21.225,45.13.104.185,60901,9001,TCP,732,1773570548.913840
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570549.167915
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570549.223289
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570549.223355
10.52.21.225,13.107.137.11,41793,443,TCP,1454,1773570549.626115
10.52.21.225,13.107.137.11,41793,443,TCP,1349,1773570549.626115
10.52.21.225,13.107.137.11,41793,443,TCP,1454,1773570549.626386
10.52.21.225,13.107.137.11,41793,443,TCP,1454,1773570549.626386
10.52.21.225,13.107.137.11,41793,443,TCP,1454,1773570549.626386
10.52.21.225,13.107.137.11,41793,443,TCP,1454,1773570549.626386
10.52.21.225,13.107.137.11,41793,443,TCP,1454,1773570549.626386
10.52.21.225,13.107.137.11,41793,443,TCP,464,1773570549.626386
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570549.627310
45.13.104.185,10.52.21.225,9001,60901,TCP,874,1773570549.627310
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570549.627310
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570549.627371
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570549.628336
152.53.246.111,10.52.21.225,9001,27546,TCP,54,1773570549.628336
152.53.246.111,10.52.21.225,9001,27546,TCP,590,1773570549.628336
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570549.628390
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570549.629057
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570549.651843
13.107.137.11,10.52.21.225,443,41793,TCP,54,1773570549.932946
13.107.137.11,10.52.21.225,443,41793,TCP,54,1773570549.935344
13.107.137.11,10.52.21.225,443,41793,TCP,54,1773570549.935344
13.107.137.11,10.52.21.225,443,41793,TCP,54,1773570549.935344
13.107.137.11,10.52.21.225,443,41793,TCP,54,1773570549.935412
13.107.137.11,10.52.21.225,443,41793,TCP,54,1773570549.935412
45.13.104.185,10.52.21.225,9001,60901,TCP,1410,1773570549.935412
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570549.935412
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570549.938853
13.107.137.11,10.52.21.225,443,41793,TCP,1454,1773570550.161772
13.107.137.11,10.52.21.225,443,41793,TCP,1192,1773570550.161772
10.52.21.225,13.107.137.11,41793,443,TCP,54,1773570550.161841
13.107.137.11,10.52.21.225,443,41793,TCP,463,1773570550.161919
152.53.246.111,10.52.21.225,9001,27546,TCP,590,1773570550.161919
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570550.162782
10.52.21.225,13.107.137.11,41793,443,TCP,54,1773570550.206065
45.13.104.185,10.52.21.225,9001,60901,TCP,590,1773570550.255208
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570550.255278
10.52.21.225,204.79.197.222,13135,443,TCP,55,1773570550.316585
204.79.197.222,10.52.21.225,443,13135,TCP,66,1773570550.549979
45.13.104.185,10.52.21.225,9001,60901,TCP,590,1773570550.550044
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570550.550085
152.53.246.111,10.52.21.225,9001,27546,TCP,54,1773570550.557093
152.53.246.111,10.52.21.225,9001,27546,TCP,590,1773570550.557093
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570550.557758
45.13.104.185,10.52.21.225,9001,60901,TCP,1126,1773570550.957917
152.53.246.111,10.52.21.225,9001,27546,TCP,54,1773570550.958008
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570550.958008
152.53.246.111,10.52.21.225,9001,27546,TCP,590,1773570550.958008
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570550.958050
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570550.958198
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570550.966112
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570551.164003
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570551.164070
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570551.164137
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570551.164157
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570551.164812
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570551.164837
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570551.164871
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570551.164871
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570551.164871
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570551.164902
10.52.21.225,45.13.104.185,60901,9001,TCP,1454,1773570551.226210
10.52.21.225,45.13.104.185,60901,9001,TCP,262,1773570551.226210
10.52.21.225,45.13.104.185,60901,9001,TCP,1454,1773570551.234127
