src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp
185.252.220.114,10.52.21.225,51820,56354,UDP,426,1773569309.875274
185.252.220.114,10.52.21.225,51820,56354,UDP,314,1773569309.875274
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569309.875393
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569309.876046
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569309.878578
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569309.932212
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569310.142974
185.252.220.114,10.52.21.225,51820,56354,UDP,586,1773569310.286912
185.252.220.114,10.52.21.225,51820,56354,UDP,122,1773569310.286912
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569310.286912
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569310.287537
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569310.287666
10.52.21.225,185.252.220.114,56354,51820,UDP,202,1773569310.291704
10.52.21.225,185.252.220.114,56354,51820,UDP,202,1773569310.292219
10.52.21.225,185.252.220.114,56354,51820,UDP,1402,1773569310.294107
185.252.220.114,10.52.21.225,51820,56354,UDP,650,1773569310.305781
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569310.306386
185.252.220.114,10.52.21.225,51820,56354,UDP,122,1773569310.306391
185.252.220.114,10.52.21.225,51820,56354,UDP,122,1773569310.388442
185.252.220.114,10.52.21.225,51820,56354,UDP,122,1773569310.388442
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569310.634846
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569310.635011
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569310.650834
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569310.651648
10.52.21.225,185.252.220.114,56354,51820,UDP,154,1773569310.652300
185.252.220.114,10.52.21.225,51820,56354,UDP,138,1773569310.798560
185.252.220.114,10.52.21.225,51820,56354,UDP,426,1773569310.798560
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569310.799035
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569310.799941
10.52.21.225,185.252.220.114,56354,51820,UDP,538,1773569310.799941
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569310.810806
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569310.811607
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569310.843369
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569310.970097
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569310.974132
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569311.016267
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.016844
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569311.023313
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.023768
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.144181
185.252.220.114,10.52.21.225,51820,56354,UDP,138,1773569311.153257
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569311.153910
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569311.156362
10.52.21.225,185.252.220.114,56354,51820,UDP,602,1773569311.156362
10.52.21.225,185.252.220.114,56354,51820,UDP,1402,1773569311.318716
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569311.362127
185.252.220.114,10.52.21.225,51820,56354,UDP,1466,1773569311.362127
185.252.220.114,10.52.21.225,51820,56354,UDP,602,1773569311.362197
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569311.362197
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.362514
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.362589
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.362653
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569311.362717
192.178.211.84,10.52.21.225,443,56570,TCP,127,1773569311.364027
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569311.818667
185.252.220.114,10.52.21.225,51820,56354,UDP,122,1773569311.818667
185.252.220.114,10.52.21.225,51820,56354,UDP,122,1773569311.818667
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569311.818667
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.819341
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.819505
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569311.820220
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569311.820732
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.845554
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.861940
185.252.220.114,10.52.21.225,51820,56354,UDP,122,1773569311.891871
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569311.926725
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569311.972012
185.252.220.114,10.52.21.225,51820,56354,UDP,1466,1773569311.985348
185.252.220.114,10.52.21.225,51820,56354,UDP,1466,1773569311.985348
185.252.220.114,10.52.21.225,51820,56354,UDP,154,1773569311.985348
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.986001
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569311.986137
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.010586
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.010586
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.010586
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.010586
10.52.21.225,185.252.220.114,56354,51820,UDP,1306,1773569312.010586
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.011638
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.011638
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.011638
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.011638
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.011638
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.011638
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.011638
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.011638
10.52.21.225,185.252.220.114,56354,51820,UDP,1466,1773569312.011638
10.52.21.225,185.252.220.114,56354,51820,UDP,778,1773569312.011638
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569312.037020
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569312.082803
185.252.220.114,10.52.21.225,51820,56354,UDP,298,1773569312.102688
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569312.335197
185.252.220.114,10.52.21.225,51820,56354,UDP,138,1773569312.342229
185.252.220.114,10.52.21.225,51820,56354,UDP,122,1773569312.342229
185.252.220.114,10.52.21.225,51820,56354,UDP,122,1773569312.342361
185.252.220.114,10.52.21.225,51820,56354,UDP,1466,1773569312.342361
185.252.220.114,10.52.21.225,51820,56354,UDP,218,1773569312.342361
185.252.220.114,10.52.21.225,51820,56354,UDP,1466,1773569312.342361
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569312.342544
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569312.342650
185.252.220.114,10.52.21.225,51820,56354,UDP,1466,1773569312.342862
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569312.342862
185.252.220.114,10.52.21.225,51820,56354,UDP,218,1773569312.343028
185.252.220.114,10.52.21.225,51820,56354,UDP,1466,1773569312.343028
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569312.343442
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569312.343505
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569312.343537
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569312.343563
10.52.21.225,185.252.220.114,56354,51820,UDP,154,1773569312.343748
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569312.598614
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569312.615108
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569312.615268
185.252.220.114,10.52.21.225,51820,56354,UDP,138,1773569312.615268
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569312.615268
185.252.220.114,10.52.21.225,51820,56354,UDP,250,1773569312.615268
185.252.220.114,10.52.21.225,51820,56354,UDP,298,1773569312.615268
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569312.615778
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569312.615914
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569312.616540
10.52.21.225,185.252.220.114,56354,51820,UDP,154,1773569312.616572
10.52.21.225,185.252.220.114,56354,51820,UDP,138,1773569312.617814
10.52.21.225,185.252.220.114,56354,51820,UDP,1402,1773569312.876434
185.252.220.114,10.52.21.225,51820,56354,UDP,1434,1773569312.887047
185.252.220.114,10.52.21.225,51820,56354,UDP,122,1773569312.887047
10.52.21.225,185.252.220.114,56354,51820,UDP,154,1773569312.887908
185.252.220.114,10.52.21.225,51820,56354,UDP,858,1773569312.893202
10.52.21.225,185.252.220.114,56354,51820,UDP,122,1773569312.893981
185.252.220.114,10.52.21.225,51820,56354,UDP,122,1773569312.903345
